Name,Country,User Type - ENGLISH,Shopee_User_Type__c,Shopee_Enquiry_Type__c - English (Webform),Shopee_Enquiry_Type__c - TRANSLATED (Webform),Enquiry Type - ENGLISH (RC),,Market,Category/Option in EN,Buyer/Seller?,Queue Display Name in Local Language,Value in SF 'Enquiry Type' field on Case Object
,ID,Seller,Penjual,Account & Security ,Akun & Keamanan,Account & Fraud,,MY,Buyer,Buyer,Payments,Payments
,ID,Seller,Penjual,Voucher & Promotions,Kampanye & Promosi,Campaigns & Seller Related,,MY,Buyer,Buyer,Returns & Refunds,Return / Refund & Order Cancellation
,ID,Buyer,Pembeli,Product Content & Legal,Konten Produk & Hukum,Content / Legal,,MY,Buyer,Buyer,Product Content & Legal,Content / Legal
,ID,Seller,Penjual,Product Content & Legal,Konten Produk & Hukum,Content / Legal,,MY,Buyer,Buyer,Vouchers & Promotions,Marketing & BD
,ID,Buyer,Pembeli,Web & App Performance,Performa Web & Aplikasi,General Feedback / Technical Issues,,MY,Buyer,Buyer,General Enquiries,General Enquiries
,ID,Seller,Penjual,Web & App Performance,Performa Web & Aplikasi,General Feedback / Technical Issues,,MY,Seller,Seller,Payments & Escrow,Payments
,ID,Buyer,Pembeli,General Enquiries,Pertanyaan Lainnya,General Enquiries,,MY,Seller,Seller,Shipping & Delivery,Logistics
,ID,Seller,Penjual,General Enquiries,Pertanyaan Lainnya,General Enquiries,,MY,Seller,Seller,Campaigns & Seller Related,Marketing & BD
,ID,Buyer,Pembeli,Shipping & Delivery,Pengiriman Produk,Logistics,,MY,Seller,Seller,Web & App Performance,General Feedback / Technical Issues
,ID,Seller,Penjual,Shipping & Delivery,Pengiriman Produk,Logistics,,MY,Seller,Seller,Account & Security,Account & Fraud
,ID,Buyer,Pembeli,Payments,Pembayaran dan Pelepasan Dana,Payments,,MY,Seller,Seller,Returns & Refunds,Return / Refund & Order Cancellation
,ID,Seller,Penjual,Payments & Escrow,Pembayaran dan Pelepasan Dana,Payments,,MY,Seller,Seller,Product Content & Legal,Content / Legal
,ID,Buyer,Pembeli,Returns & Refunds,Pengajuan Pengembalian Barang & Dana,Return / Refund & Order Cancellation,,MY,Seller,Seller,General Enquiries,General Enquiries
,ID,Seller,Penjual,Returns & Refunds,Pengajuan Pengembalian Barang & Dana,Return / Refund & Order Cancellation,,TH,Buyer,ผู้ซื้อ,การจัดส่ง,Logistics
,ID,Buyer,Pembeli,Voucher & Promotions,Kampanye & Promosi,Marketing & BD,,TH,Buyer,ผู้ซื้อ,ปัญหาทางเทคนิคในแอปพลิเคชัน,General Feedback / Technical Issues
,ID,Seller,Penjual,ShopeePay (Merchant),ShopeePay (Merchant),Payments,,TH,Buyer,ผู้ซื้อ,บัญชีและความปลอดภัย,Account & Fraud
,ID,Seller,Penjual,ShopeePinjam & Fast Funds,ShopeePinjam & Dana Cepat,Payments,,TH,Buyer,ผู้ซื้อ,การชำระเงิน,Payments
,ID,Buyer,Pembeli,ShopeePay,ShopeePay,Payments,,TH,Buyer,ผู้ซื้อ,การคืนเงิน/สินค้า,Return / Refund & Order Cancellation
,ID,Buyer,Pembeli,ShopeePayLater & ShopeePinjam,ShopeePayLater & ShopeePinjam,Payments,,TH,Buyer,ผู้ซื้อ,รายละเอียดสินค้า / กฎหมายที่เกี่ยวข้อง,Content / Legal
,SG,Buyer,Buyer,Account & Security,Account & Security,Account & Fraud,,TH,Buyer,ผู้ซื้อ,โค้ดส่วนลดและโปรโมชั่น,Marketing & BD
,SG,Buyer,Buyer,Payments,Payments,Payments,,TH,Buyer,ผู้ซื้อ,คำถามทั่วไป,General Enquiries
,SG,Buyer,Buyer,Shipping & Delivery,Shipping & Delivery,Logistics,,TH,Seller,ผู้ขาย,การชำระเงินและการออกบิล,Payments
,SG,Buyer,Buyer,Returns & Refunds,Returns & Refunds,Return / Refund & Order Cancellation,,TH,Seller,ผู้ขาย,การจัดส่ง,Logistics
,SG,Buyer,Buyer,Product Content & Legal,Product Content & Legal,Content / Legal,,TH,Seller,ผู้ขาย,แคมเปญ,Marketing & BD
,SG,Buyer,Buyer,Voucher & Promotions,Voucher & Promotions,Marketing & BD,,TH,Seller,ผู้ขาย,ปัญหาทางเทคนิคในแอปพลิเคชัน,General Feedback / Technical Issues
,SG,Buyer,Buyer,Web & App Performance,Web & App Performance,General Feedback / Technical Issues,,TH,Seller,ผู้ขาย,บัญชีและความปลอดภัย,Account & Fraud
,SG,Buyer,Buyer,General Enquiries,General Enquiries,General Enquiries,,TH,Seller,ผู้ขาย,คืนเงิน/สินค้า,Return / Refund & Order Cancellation
,SG,Seller,Seller,Account & Security,Account & Security,Account & Fraud,,TH,Seller,ผู้ขาย,รายละเอียดสินค้า / กฎหมายที่เกี่ยวข้อง,Content / Legal
,SG,Seller,Seller,Payments & Escrow,Payments & Escrow,Payments,,TH,Seller,ผู้ขาย,คำถามทั่วไป,General Enquiries
,SG,Seller,Seller,Shipping & Delivery,Shipping & Delivery,Logistics,,TW,Buyer,買家,物流配送相關,#N/A
,SG,Seller,Seller,Returns & Refunds,Returns & Refunds,Return / Refund & Order Cancellation,,TW,Buyer,買家,系統意見與回饋,#N/A
,SG,Seller,Seller,Product Content & Legal,Product Content & Legal,Content / Legal,,TW,Buyer,買家,帳戶安全相關,#N/A
,SG,Seller,Seller,Campaigns & Seller Related,Campaigns & Seller Related,Marketing & BD,,TW,Buyer,買家,訂單與金流相關,#N/A
,SG,Seller,Seller,Web & App Performance,Web & App Performance,General Feedback / Technical Issues,,TW,Buyer,買家,退貨退款相關,#N/A
,SG,Seller,Seller,General Enquiries,General Enquiries,General Enquiries,,TW,Buyer,買家,商品上架與法務相關,#N/A
,MY,Buyer,Buyer,Account & Security,Account & Security,Account & Fraud,,TW,Buyer,買家,行銷活動相關,#N/A
,MY,Buyer,Buyer,Payments,Payments,Payments,,TW,Buyer,買家,一般諮詢,#N/A
,MY,Buyer,Buyer,Shipping & Delivery,Shipping & Delivery,Logistics,,TW,Seller,賣家,訂單與金流相關,#N/A
,MY,Buyer,Buyer,Returns & Refunds,Returns & Refunds,Return / Refund & Order Cancellation,,TW,Seller,賣家,物流配送相關,#N/A
,MY,Buyer,Buyer,Product Content & Legal,Product Content & Legal,Content / Legal,,TW,Seller,賣家,行銷活動相關,#N/A
,MY,Buyer,Buyer,Voucher & Promotions,Voucher & Promotions,Marketing & BD,,TW,Seller,賣家,系統意見與回饋,#N/A
,MY,Buyer,Buyer,General Enquiries,General Enquiries,General Enquiries,,TW,Seller,賣家,帳戶安全相關,#N/A
,MY,Buyer,Buyer,Web & App Performance,Web & App Performance,General Feedback / Technical Issues,,TW,Seller,賣家,退貨退款相關,#N/A
,MY,Seller,Seller,Account & Security,Account & Security,Account & Fraud,,TW,Seller,賣家,商品上架與法務相關,#N/A
,MY,Seller,Seller,Payments & Escrow,Payments & Escrow,Payments,,TW,Seller,賣家,一般諮詢,#N/A
,MY,Seller,Seller,Shipping & Delivery,Shipping & Delivery,Logistics,,ID,Buyer,Pembeli,Pengaturan & Perubahan Data Akun,#N/A
,MY,Seller,Seller,Returns & Refunds,Returns & Refunds,Return / Refund & Order Cancellation,,ID,Buyer,Pembeli,Pembelian & Promosi,#N/A
,MY,Seller,Seller,Product Content & Legal,Product Content & Legal,Content / Legal,,ID,Buyer,Pembeli,Pembayaran & Penarikan Dana,#N/A
,MY,Seller,Seller,Campaigns & Seller Related,Campaigns & Seller Related,Marketing & BD,,ID,Buyer,Pembeli,Pengiriman,#N/A
,MY,Seller,Seller,Web & App Performance,Web & App Performance,General Feedback / Technical Issues,,ID,Buyer,Pembeli,Pembatalan & Pengembalian Barang,#N/A
,MY,Seller,Seller,General Enquiries,General Enquiries,General Enquiries,,ID,Buyer,Pembeli,Konten Produk & Hukum,Content / Legal
,PH,Buyer,Buyer,Account & Security,Account & Security,Account & Fraud,,ID,Buyer,Pembeli,Performa Web & Aplikasi,General Feedback / Technical Issues
,PH,Buyer,Buyer,Payments,Payments,Payments,,ID,Buyer,Pembeli,ShopeePay,Payments
,PH,Buyer,Buyer,Shipping & Delivery,Shipping & Delivery,Logistics,,ID,Buyer,Pembeli,ShopeePayLater & ShopeePinjam,Payments
,PH,Buyer,Buyer,Returns & Refunds,Returns & Refunds,Return / Refund & Order Cancellation,,ID,Buyer,Pembeli,Pertanyaan Lainnya,General Enquiries
,PH,Buyer,Buyer,Product Content & Legal,Product Content & Legal,Content / Legal,,ID,Seller,Penjual,Pengaturan & Perubahan Data Akun,#N/A
,PH,Buyer,Buyer,Voucher & Promotions,Voucher & Promotions,Marketing & BD,,ID,Seller,Penjual,"Penjualan, Pengaturan Produk & Performa Toko",#N/A
,PH,Buyer,Buyer,Web & App Performance,Web & App Performance,General Feedback / Technical Issues,,ID,Seller,Penjual,Pembayaran & Penarikan Dana,#N/A
,PH,Buyer,Buyer,General Enquiries,General Enquiries,General Enquiries,,ID,Seller,Penjual,Pesanan & Pengantaran,#N/A
,PH,Seller,Seller,Account & Security,Account & Security,Account & Fraud,,ID,Seller,Penjual,Pengembalian Barang & Dana,#N/A
,PH,Seller,Seller,Payments & Escrow,Payments & Escrow,Payments,,ID,Seller,Penjual,Konten Produk & Hukum,Content / Legal
,PH,Seller,Seller,Shipping & Delivery,Shipping & Delivery,Logistics,,ID,Seller,Penjual,Performa Web & Aplikasi,General Feedback / Technical Issues
,PH,Seller,Seller,Returns & Refunds,Return & Refunds,Return / Refund & Order Cancellation,,ID,Seller,Penjual,ShopeePay (Merchant),Payments
,PH,Seller,Seller,Product Content & Legal,Product Content & Legal,Content / Legal,,ID,Seller,Penjual,ShopeePinjam & Dana Cepat,Payments
,PH,Seller,Seller,Campaigns & Seller Related,Campaigns & Seller Related,Marketing & BD,,ID,Seller,Penjual,Pertanyaan Lainnya,General Enquiries
,PH,Seller,Seller,Web & App Performance,Web & App Performance,General Feedback / Technical Issues,,VN,Buyer,Người mua,Giao hàng & Nhận hàng,Logistics
,PH,Seller,Seller,General Enquiries,General Enquiries,General Enquiries,,VN,Buyer,Người mua,Góp ý về App / Web,#N/A
,TH,Buyer,ผู้ซื้อ,Account & Security,บัญชีและความปลอดภัย,Account & Fraud,,VN,Buyer,Người mua,Tài khoản & Bảo mật,Account & Fraud
,TH,Buyer,ผู้ซื้อ,Payments,การซื้อและการชำระเงิน,Payments,,VN,Buyer,Người mua,Thanh toán,Payments
,TH,Buyer,ผู้ซื้อ,Shipping & Delivery,การจัดส่งสินค้า,Logistics,,VN,Buyer,Người mua,Trả hàng & Hoàn tiền,Return / Refund & Order Cancellation
,TH,Buyer,ผู้ซื้อ,Returns & Refunds,การคืนเงินและคืนสินค้า,Return / Refund & Order Cancellation,,VN,Buyer,Người mua,Nội dung & Pháp lý,#N/A
,TH,Buyer,ผู้ซื้อ,Product Content & Legal,เกี่ยวกับสินค้าและกฎหมายที่เกี่ยวข้อง,Content / Legal,,VN,Buyer,Người mua,Mã giảm giá & Chương trình khuyến mãi,Marketing & BD
,TH,Buyer,ผู้ซื้อ,Marketing & BD,แคมเปญและเรื่องที่เกี่ยวข้องกับร้านค้า,Marketing & BD,,VN,Buyer,Người mua,Câu hỏi chung,General Enquiries
,TH,Buyer,ผู้ซื้อ,Web & App Performance,ปัญหาเกี่ยวกับเว็บไซต์และแอปพลิเคชัน,General Feedback / Technical Issues,,VN,Seller,Người bán,Đơn hàng & Thanh toán,Payments
,TH,Buyer,ผู้ซื้อ,General Enquiries,คำถามทั่วไป,General Enquiries,,VN,Seller,Người bán,Giao hàng & Nhận hàng,Logistics
,TH,Seller, ผู้ขาย,Account & Security,บัญชีและความปลอดภัย,Account & Fraud,,VN,Seller,Người bán,Bán hàng & Ưu đãi,#N/A
,TH,Seller, ผู้ขาย,Payments & Escrow,การซื้อและการชำระเงิน,Payments,,VN,Seller,Người bán,Góp ý về App / Web,#N/A
,TH,Seller, ผู้ขาย,Shipping & Delivery,การจัดส่งสินค้า,Logistics,,VN,Seller,Người bán,Tài khoản & Bảo mật,Account & Fraud
,TH,Seller, ผู้ขาย,Returns & Refunds,การคืนเงินและคืนสินค้า,Return / Refund & Order Cancellation,,VN,Seller,Người bán,Trả hàng & Hoàn tiền,Return / Refund & Order Cancellation
,TH,Seller, ผู้ขาย,Product Content & Legal,เกี่ยวกับสินค้าและกฎหมายที่เกี่ยวข้อง,Content / Legal,,VN,Seller,Người bán,Nội dung & Pháp lý,#N/A
,TH,Seller, ผู้ขาย,Vouchers & Promotions,แคมเปญและเรื่องที่เกี่ยวข้องกับร้านค้า,Marketing & BD,,VN,Seller,Người bán,Câu hỏi chung,General Enquiries
,TH,Seller, ผู้ขาย,Web & App Performance,ปัญหาเกี่ยวกับเว็บไซต์และแอปพลิเคชัน,General Feedback / Technical Issues,,PH,Buyer,Buyer,Shipping & Delivery,Logistics
,TH,Seller, ผู้ขาย,General Enquiries,คำถามทั่วไป,General Enquiries,,PH,Buyer,Buyer,Web & App Performance,General Feedback / Technical Issues
,TW,Buyer, 買家,Account & Security,帳號登入或資料異動,Account & Fraud,,PH,Buyer,Buyer,Account & Security,Account & Fraud
,TW,Buyer, 買家,Payments,付款方式或發票等帳務相關,Payments,,PH,Buyer,Buyer,Payments,Payments
,TW,Buyer, 買家,Returns & Refunds,退貨退款相關問題,Return / Refund & Order Cancellation,,PH,Buyer,Buyer,Returns & Refunds,Return / Refund & Order Cancellation
,TW,Buyer, 買家,Shipping & Delivery,商品寄送規則或配送進度查詢,Logistics,,PH,Buyer,Buyer,Product Content & Legal,Content / Legal
,TW,Buyer, 買家,Product Content & Legal,商品狀態查詢或上架規範,Content / Legal,,PH,Buyer,Buyer,Vouchers & Promotions,#N/A
,TW,Buyer, 買家,Voucher & Promotions,行銷活動或折扣碼詳情,Marketing & BD,,PH,Buyer,Buyer,General Enquiries,General Enquiries
,TW,Buyer, 買家,General Enquiries,一般諮詢或其他,General Enquiries,,PH,Seller,Seller,Payments & Escrow,Payments
,TW,Buyer, 買家,Web & App Performance,功能建議或異常回報,General Feedback / Technical Issues,,PH,Seller,Seller,Shipping & Delivery,Logistics
,TW,Seller,賣家,Account & Security,帳號登入或資料異動,Account & Fraud,,PH,Seller,Seller,Campaigns & Seller Related,Marketing & BD
,TW,Seller,賣家,Payments,手續費/發票/撥款等帳務相關,Payments,,PH,Seller,Seller,Web & App Performance,General Feedback / Technical Issues
,TW,Seller,賣家,Shipping & Delivery,商品寄送規則或配送進度查詢,Logistics,,PH,Seller,Seller,Account & Security,Account & Fraud
,TW,Seller,賣家,Product Content & Legal,商品狀態查詢或上架規範,Content / Legal,,PH,Seller,Seller,Returns & Refunds,Return / Refund & Order Cancellation
,TW,Seller,賣家,Voucher & Promotions,行銷活動詳情與設定,Marketing & BD,,PH,Seller,Seller,Product Content & Legal,Content / Legal
,TW,Seller,賣家,General Enquiries,一般諮詢或其他,General Enquiries,,PH,Seller,Seller,General Enquiries,General Enquiries
,TW,Seller,賣家,Web & App Performance,功能建議或異常回報,General Feedback / Technical Issues,,,,,,
,TW,Seller,賣家,Returns & Refunds,退貨退款相關問題,Return / Refund & Order Cancellation,,,,,,
,VN,Buyer,Người mua,Account & Security,Tài khoản & Bảo mật,Account & Fraud,,,,,,
,VN,Buyer,Người mua,Payments,Thanh toán,Payments,,,,,,
,VN,Buyer,Người mua,Returns & Refunds,Trả hàng & Hoàn tiền,Return / Refund & Order Cancellation,,,,,,
,VN,Buyer,Người mua,Product & Legal,Sản phẩm & các chỉ số hiệu quả bán hàng,Content / Legal,,,,,,
,VN,Buyer,Người mua,Voucher & Promotion,Mã giảm giá & Chương trình khuyến mãi,Marketing & BD,,,,,,
,VN,Buyer,Người mua,Web & App Performance,Góp ý về App/ web,General Feedback / Technical Issues,,,,,,
,VN,Buyer,Người mua,General Enquiries,Câu hỏi chung,General Enquiries,,,,,,
,VN,Buyer,Người mua,Shipping & Delivery,Giao hàng & Nhận hàng,Logistics,,,,,,
,VN,Seller,Người bán,Account & Security,Tài khoản & Bảo mật,Account & Fraud,,,,,,
,VN,Seller,Người bán,Payments & Escrow,Đơn hàng & Thanh toán,Payments,,,,,,
,VN,Seller,Người bán,Shipping & Delivery,Giao hàng & Nhận hàng,Logistics,,,,,,
,VN,Seller,Người bán,Returns & Refunds,Trả hàng & Hoàn tiền,Return / Refund & Order Cancellation,,,,,,
,VN,Seller,Người bán,Product & Legal,Sản phẩm & các chỉ số hiệu quả bán hàng,Content / Legal,,,,,,
,VN,Seller,Người bán,Campaigns & Seller Related,Chương trình khuyến mãi,Marketing & BD,,,,,,
,VN,Seller,Người bán,Web & App Performance,Góp ý về App/ web,General Feedback / Technical Issues,,,,,,
,VN,Seller,Người bán,General Enquiries,Câu hỏi chung,General Enquiries,,,,,,
,BR,Buyer,Comprador,Account & Security,Conta e Segurança,Account & Fraud,,,,,,
,BR,Buyer,Comprador,Payments,Pagamentos,Payments,,,,,,
,BR,Buyer,Comprador,Shipping & Delivery,Frete e Entrega,Logistics,,,,,,
,BR,Buyer,Comprador,Returns & Refunds,Devolução e Reembolso,Return / Refund & Order Cancellation,,,,,,
,BR,Buyer,Comprador,Product & Legal,Detalhes do Produto e Direitos,Content / Legal,,,,,,
,BR,Buyer,Comprador,Voucher & Promotion,Notas Fiscais e Promoções,Marketing & BD,,,,,,
,BR,Buyer,Comprador,Web & App Performance,Desempenho Web e App,General Feedback / Technical Issues,,,,,,
,BR,Buyer,Comprador,General Enquiries,Inquéritos Gerais,General Enquiries,,,,,,
,BR,Seller,Vendedor,Account & Security,Conta e Segurança,Account & Fraud,,,,,,
,BR,Seller,Vendedor,Payments & Escrow,Pagamentos e Custódia,Payments,,,,,,
,BR,Seller,Vendedor,Shipping & Delivery,Frete e Entrega,Logistics,,,,,,
,BR,Seller,Vendedor,Returns & Refunds,Devolução e Reembolso,Return / Refund & Order Cancellation,,,,,,
,BR,Seller,Vendedor,Product & Legal,Detalhes do Produto e Direitos,Content / Legal,,,,,,
,BR,Seller,Vendedor,Campaigns & Seller Related,Campanhas e Informações do Vendedor,Marketing & BD,,,,,,
,BR,Seller,Vendedor,Web & App Performance,Desempenho Web e App,General Feedback / Technical Issues,,,,,,
,BR,Seller,Vendedor,General Enquiries,Inquéritos Gerais,General Enquiries,,,,,,
